,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,ellipticity,fwhm
0,1,226.75381239438974,7.274695085507483,,224,230,5,11,42.0,0.9632730530317561,0.8318512947026565,7.060227995605438,0.504233265889325,0.0,540.4739465456308,0.0,1602.1820237196064,,0.13643250780811267,2.119254018356931
1,2,337.5320544073534,11.559974757227987,,334,341,9,14,44.0,1.0515671837391238,0.8923386387416741,40.329095934244414,0.5290674571635827,0.0,359.8278630713369,0.0,1409.8716455085184,,0.15142023016662687,2.2964396492641637
2,3,23.307531447748225,14.947260460758558,,21,26,12,18,39.0,0.9724263877544735,0.8296978873208471,83.36906369235098,0.5215440372203772,0.0,201.37152891803183,0.0,888.1604445399128,,0.14677563487681056,2.128483570792109
3,4,162.12025671542415,16.296371456789544,,159,165,14,19,38.0,0.9584188356282793,0.9145578150151521,-28.413114053232054,0.2990544078553002,0.0,382.3434336580582,0.0,1829.6535261659067,,0.04576393846055282,2.2058660736726656
4,5,202.98929619624016,17.8215765353766,,199,206,14,21,54.0,1.290122294524029,0.9141016339432061,-28.91150529187371,0.7056719096752352,0.0,206.97488218434472,0.0,895.8334377912588,,0.29146125307411264,2.632767442891268
5,6,219.9207952070578,16.99986215772615,,217,223,14,20,46.0,1.1318897695367085,0.9630322227925688,-27.226018466254963,0.5254604471159848,0.0,112.34933164241542,0.0,530.6978263752649,,0.149181970973423,2.4745817294819434
6,7,99.37058486889231,18.03584705299817,,97,101,16,20,24.0,0.8958570539794148,0.7562653012599991,59.91213583308416,0.5360585982302545,0.0,0.9220909792432035,0.0,3.2201180530027687,,0.15581922595725106,1.9521565170003943
7,8,49.566311371557546,23.061186985095517,,47,52,20,25,35.0,0.9749272552902677,0.7949314292225033,-31.216668887854656,0.5789329937578054,0.0,138.78473818247858,0.0,418.4711978949904,,0.1846248785138065,2.094598286707614
8,9,172.97569782060708,24.904342811176193,,170,176,21,28,46.0,1.2624386179721256,0.8418601053663659,-89.42021912068964,0.7451899087436273,0.0,212.21772279498967,0.0,1042.3061132358616,,0.3331476925835344,2.526624082171293
9,10,346.54322430483325,33.47894346351833,,343,350,30,36,50.0,1.2515253438105585,0.9995376145661238,-10.76244824086507,0.6017884784027844,0.0,40.214107226119026,0.0,306.69145619318294,,0.2013444877410151,2.6669785362404452
10,11,93.49389201869911,37.584037290489604,,90,98,34,43,74.0,1.1106151703224603,1.0004818310216363,62.97338504966342,0.43416008819037166,0.0,176.878917054182,0.0,809.8249969860769,,0.09916426701505199,2.4890068867115516
11,12,157.8330008877959,35.815869626809054,,156,160,34,37,19.0,0.8404261793343288,0.6868269200073387,5.3795058253907175,0.5763024900616358,0.0,1.6785883783973214,0.0,3.649589492703451,,0.1827635348635267,1.8072744348067957
12,13,28.878684610868927,36.98552710919834,,27,30,35,38,15.0,0.6558948531255482,0.5812028639869606,-1.0889811872795019,0.46345203392880835,0.0,0.5934857543616692,0.0,0.6867365259932808,,0.11387799245970054,1.4592236968206889
13,14,330.10190774444123,44.55698433190686,,325,335,40,49,81.0,2.2274834937642276,1.055785681655834,-42.68438126210427,0.8805348711711964,0.0,20.884998535721312,0.0,326.58213295809117,,0.5260186283707717,4.10454189625643
14,15,236.0,44.0,,235,237,43,45,9.0,0.5688292519459035,0.5688292519459035,0.0,0.0,0.0,0.027892036821972933,0.0,0.027892036821972933,,0.0,1.3394905246821738
15,16,300.29315985163066,47.76413237645178,,297,304,44,52,65.0,1.345820741659621,1.1224566553609296,25.00301700949243,0.5517170925215229,0.0,119.82908683306165,0.0,679.4161509898454,,0.16596867575636132,2.918049830875846
16,17,270.8269945905336,49.35610989499469,,268,273,47,52,30.0,0.9533311822848239,0.8229331508633143,-36.62838935745842,0.504830420048416,0.0,3.202101932562112,0.0,14.92366203389308,,0.1367814604668527,2.0970193529245877
17,18,314.212169437173,52.15722910842392,,311,318,48,56,59.0,1.3033459804237177,1.0719692085370554,-49.34391821419119,0.568801567870965,0.0,58.36824727778219,0.0,422.71883445933514,,0.17752521230889273,2.8099569064613874
18,19,351.4037050112248,55.181227096306,,349,355,52,59,46.0,1.1830526997150856,0.870271402502793,56.942286806289815,0.6773997777198308,0.0,216.4017419593375,0.0,1053.2947285290456,,0.2643849232478145,2.445492807104384
19,20,268.80829977526196,64.16648008409297,,266,272,60,67,51.0,1.0016690762344729,0.8671133355684322,71.57917120179606,0.5006177203737682,0.0,1888.7515341199137,0.0,8376.250909859466,,0.13433153109994145,2.206019294923697
20,21,330.65361054015085,67.02071994586039,,328,333,64,70,39.0,0.9744498460178612,0.8630218485811997,77.605915162863,0.464352726925995,0.0,410.95748723325056,0.0,1550.8089781733233,,0.1143496485653086,2.1674319474585477
21,22,26.32099788528242,68.8721749781753,,24,29,66,72,38.0,1.0210899747834388,0.9246896239142511,-89.77886139454303,0.4241525846868975,0.0,544.3868330598335,0.0,1714.0482397190824,,0.09440926191605492,2.293790328279527
22,23,171.0,75.0,,170,172,74,76,9.0,0.5688292519459035,0.5688292519459035,0.0,1.4901161193847656e-08,0.0,0.3805685309900829,0.0,0.3805685309900829,,0.0,1.3394905246821738
23,24,247.545734252994,95.45607252853684,,245,250,93,98,33.0,0.9436184453086175,0.8592637268920064,-11.893972039338642,0.41327767015064504,0.0,652.8754736252049,0.0,2642.4751670759892,,0.08939494436124795,2.1250538033115047
24,25,38.475433128019205,100.90494042798673,,36,42,98,104,44.0,1.2164708986204638,1.0619482900116706,89.14355636732716,0.48776553078030416,0.0,9.454153348456583,0.0,78.4115055309109,,0.12702532282854384,2.6887959846160148
25,26,150.24129832966477,100.00376836702526,,147,154,98,103,46.0,1.2366965015936102,0.9125277169734872,17.62228961638731,0.6749371402272006,0.0,2.846012934016568,0.0,21.02196104003627,,0.2621247688518552,2.5591407411869063
26,27,328.92512424977093,100.65452256039916,,324,332,98,104,53.0,1.0549515189976044,0.9314944819783285,-23.26258257112408,0.4694223950405326,0.0,161.900957152382,0.0,514.625396622331,,0.11702626594308574,2.343374104096662
27,28,210.34354873061469,101.27969007639865,,207,214,99,104,46.0,1.2370936220340139,1.0990241214249419,48.761182108730864,0.4590856027204852,0.0,199.12562792963456,0.0,1122.5508363257527,,0.11160796414264895,2.7553682074918755
28,29,84.92570185119172,106.92868912349165,,81,88,102,110,56.0,1.2182598516425402,0.8218149017323154,-56.76017918816157,0.7382008715549057,0.0,282.74696331573836,0.0,1285.7834186089985,,0.32541903878364786,2.446938367369984
29,30,75.04266874809845,111.14399541911997,,72,78,109,114,38.0,1.1866886591388257,0.9584246962153607,-29.31616168680345,0.5896672500562623,0.0,14.266057754444295,0.0,102.41520382739313,,0.19235370723869138,2.539937256084985
30,31,365.85780959341855,117.99788696257752,,364,368,115,121,34.0,1.1563566124551392,0.7928406338014011,-78.47048571158898,0.7279438128307243,0.0,552.3561311797412,0.0,1505.1080194622664,,0.3143632117793944,2.3345739166207355
31,32,20.177295873544608,119.39856827397311,,17,23,116,122,44.0,1.0583777912564076,0.9713990515011971,-32.83946399184325,0.39699952212005096,0.0,57.978541268992565,0.0,280.68690900016946,,0.08218118376421846,2.3920727890099527
32,33,99.40104083826121,126.16848872309517,,97,101,124,129,26.0,0.9064382410539499,0.7797629692220476,70.24571283580262,0.5098734539234535,0.0,3.8882370864006672,0.0,15.18355284584348,,0.13975058210762625,1.9909446957090868
33,34,78.0,129.0,,77,79,128,130,9.0,0.5688292519459035,0.5688292519459035,0.0,1.4901161193847656e-08,0.0,0.25232360743316534,0.0,0.25232360743316534,,0.0,1.3394905246821738
34,35,321.9471480291908,130.8885011459709,,318,325,128,134,46.0,1.2444565047329137,0.9654156395509175,13.854885606056769,0.6310122009226934,0.0,9.806248789233305,0.0,66.3155927636844,,0.22422709361134663,2.622586326325634
35,36,309.51132915924,135.3024951820522,,306,313,131,139,67.0,1.5104134573698884,1.1594670162105893,84.59696152825931,0.6408708003339565,0.0,34.68612861668376,0.0,379.16519786769504,,0.23235124094458792,3.1705850867678524
36,37,25.1800946813364,136.11341068841222,,22,28,133,139,43.0,1.092180991979956,0.9766793844147458,65.58471930992198,0.44757414576680277,0.0,344.97626267581074,0.0,1683.00272590405,,0.10575317498963577,2.439690132355466
37,38,283.3198406941999,140.4607060200639,,281,286,137,143,40.0,0.98466301065157,0.9383820103974222,74.96297140162406,0.302976169440678,0.0,802.4996690790741,0.0,3869.7281647499476,,0.0470018673937217,2.2648680995521757
38,39,135.58725291406702,145.7429199537535,,133,138,143,149,37.0,0.9702800444021756,0.8164737407303453,73.59993701629844,0.5402842700437791,0.0,203.2285767397038,0.0,818.2754855971299,,0.15851743479543157,2.111521803454026
39,40,151.03288777900184,154.88018881431415,,149,154,152,158,39.0,0.9544300120378566,0.8214959446621022,-78.9864007994805,0.5090805289632255,0.0,722.0669167727202,0.0,1916.2768608160193,,0.13928110568518215,2.09684278535772
40,41,297.0650933594483,168.50149435294836,,294,300,165,172,49.0,0.9587269192842127,0.8833471665950535,85.56546887021803,0.38867443765728155,0.0,2464.217676144627,0.0,10008.82923938808,,0.07862484214528764,2.170691665336998
41,42,256.37364478914344,169.44928409247277,,253,261,166,173,61.0,0.9867969220668823,0.9042224191211583,55.9247941495816,0.40044528388663203,0.0,1598.7551712507686,0.0,6566.823619502382,,0.08367932762981123,2.2286268389793498
42,43,74.74571384753402,171.29911065107072,,72,77,169,174,35.0,0.9952192724831181,0.919687987195324,62.66968987500189,0.38213650982553216,0.0,20.83100727462438,0.0,67.66061420105142,,0.07589411436872617,2.2563842136722574
43,44,144.46024083886746,175.08731504362592,,141,148,172,178,52.0,1.0986450102900613,0.9607375777464173,-3.843046049037298,0.48507061592686535,0.0,90.89155355152427,0.0,307.13215358296316,,0.12552501604429445,2.4301683263565126
44,45,344.36912941873476,182.4554088660618,,341,347,180,185,37.0,1.1592526268589551,0.9319090630841024,30.18908863486911,0.5947809498757192,0.0,6.770060037614978,0.0,44.62608685021374,,0.19611218340807213,2.476662408080313
45,46,48.70728355298388,195.19458407121425,,46,52,192,198,41.0,0.9514493062517265,0.8736762773656859,52.17372336422903,0.39598180332916183,0.0,280.6596567295604,0.0,1302.1769661961757,,0.08174164232924896,2.1508712953964104
46,47,127.1412231709026,196.89472389002879,,124,130,194,200,46.0,1.14376740374339,0.9701732222342346,-57.49698900635741,0.5296344907776169,0.0,95.58603946271043,0.0,363.88483252015897,,0.15177402410752927,2.4973529687663087
47,48,253.15386070709596,201.7065702877717,,251,255,200,203,19.0,0.7634752645890279,0.7226241222558568,22.257664882906404,0.3227238478542841,0.0,2.419823571183893,0.0,5.304943392013347,,0.053506831495269136,1.7504092741869823
48,49,279.0632659823425,203.00604566033022,,276,281,200,206,38.0,0.9152442992751808,0.8597823269417224,84.31451077759392,0.34281755917321316,0.0,138.87628512882222,0.0,413.0478813410786,,0.06059799812725519,2.090954086738583
49,50,86.4346916151927,210.91978729830993,,84,89,208,214,37.0,0.9454782819484864,0.8958593177942944,81.50880048616733,0.31969732337764273,0.0,8407.072850792143,0.0,37793.275250836305,,0.052480279136539076,2.1687963559102728
