,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,ccfbta060117c.fits,52,0.15091314199889894,2,0.08248920400001225,0.12484500955221234,6.754160919540815 pix,0.03165633767040388,4.8968097078991235 pix,"[1888.16541214186, 5126.711786661539, 6877.360007644245, 6941.586257281368, 5652.267977688141, 4157.597688858747, 2829.303604374716, 1527.3223331956106, 719.6441246673567, 169.22918524989655, -282.6341324939276, -541.0181201855012, -919.4796365315269, -642.4154319531153, -532.4200981748145, -451.4368044811781, -221.82918747732037]","[1909.6417662212157, 5018.877320015683, 6446.460413942587, 6188.523172957806, 4901.71939722792, 3306.209256133465, 1957.3037132313257, 1024.7944057861496, 475.985458958643, 195.75012017881454, 68.68113082984564, 17.23271915450823, 0.9257750353281153, -3.002436138831399, -2.798006633485784, -1.796060048523941, -1.071886996171088, -0.5402155950105225, -0.19841214773259708, -0.025660811152192764]","[3123.015439638659, 8020.994065120687, 8892.003649420902, 6507.035287843471, 3676.5156515906237, 1295.7992556816716, 253.10093649557894, 80.29101773086222, 5.787297430644685, 7.275957614183426e-12, -7.275957614183426e-12, 0.0, 0.0, 7.275957614183426e-12, -7.275957614183426e-12, 0.0, 0.0, 3.637978807091713e-12, 0.0, 0.0]","(-0.5919208747343436, 1.84785178503091)","(-1.0967329350337724, 0.7971812785973764)",2.4397726597652536,1.8939142136311489
1,ccfbte210072c.fits,11,0.059403274000942474,2,0.08175821599797928,0.23750817925026924,6.210659338890184 pix,0.3001799085961081,3.9296148009623724 pix,"[4008.087599305136, 10443.445501252823, 13071.457102044906, 12817.417699115256, 10517.311585147087, 7667.743900764755, 5105.848184103357, 3103.5383781012715, 1796.2132086895872, 880.2311324902257, 110.14804209818249, -321.97127232761704, -690.5846659886156, -451.80965504047344, -402.61852722878393, -282.8972294865089, -184.03976719519414]","[4345.533551206615, 10493.085458581518, 11768.496500245772, 9574.766403399193, 6359.27112897559, 3685.7321192949457, 2056.7229065065985, 1202.2546846479745, 728.6106678398137, 400.03225831640157, 175.22329671457555, 57.08169783586345, 10.421030041921767, -3.0020413067904883, -4.467501620812982, -3.23525300208712, -1.9099360856343992, -0.9387736562930513, -0.28209003814845346, -0.009451178710150998]","[10720.656228221462, 23848.808411776645, 20422.213216663702, 10801.34783892877, 3334.0886992379383, 578.1685568034736, 73.16944200766739, 13.125446302175988, 3.2191507607640233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(1.0942147002622704, 1.6888092134752366)","(-0.6398615824365645, 0.6197742397197956)",2.783023913737507,1.2596358221563602
2,ccfbte210073c.fits,11,0.055455055997299496,2,0.08348812899930635,0.2543777733859157,5.995141237513235 pix,0.4232476637274697,4.144577195947463 pix,"[3484.7761610216485, 9462.05161781918, 12940.95751697954, 13095.42286103823, 10407.90904929211, 7316.876879497162, 4728.653038862227, 2827.426599042781, 1632.8932327097282, 958.8762357576488, 194.45154317331617, -232.0131175067072, -420.9096494636178, -473.0397425592382, -393.0321971913363, -226.45870181285136, -197.45603868141916]","[3959.9678315950723, 9881.304853842448, 11439.381790945814, 9588.602977920393, 6475.067535688271, 3735.6910370134356, 1952.7837162862124, 928.3002361723629, 414.90604184738186, 173.42416433674225, 63.68544027755706, 16.732730682953843, -0.7633386458983296, -6.3441193822800415, -5.3433778984617675, -3.8235690768779023, -2.232606918696547, -0.9400647637521615, -0.266715676705644, -0.0033168309237225913]","[8374.606528594286, 20428.18066897794, 19093.06345286276, 11346.982706943061, 4030.076431893045, 841.1831303575673, 16.15781420012354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(0.9614940158635417, 1.2119016137974512)","(-0.659379465598672, 0.2272322390190169)",2.173395629660993,0.8866117046176889
3,ccfbte210075c.fits,375,0.9242290779984614,2,0.08381488599843578,0.12446789137107983,6.6591367220050195 pix,0.36603279357401286,3.4406171107593573 pix,"[3805.467412367858, 10710.010531181422, 14407.730903514004, 13272.815398099341, 9776.569606167192, 6186.470711578004, 3762.9009958256283, 2300.022578678356, 1301.5853943777838, 535.6050364060357, -897.525716357879, -1796.3925252317858, -2530.623640112419, -1951.1501684711184, -1540.206221003922, -1252.5227340914134, -820.0513840738931]","[4488.320681911841, 11778.241278735892, 15190.870730411547, 14640.628095591266, 11614.676938657016, 7818.612518149552, 4453.877133464208, 2189.461669461234, 933.3804024497804, 341.568766879529, 101.41957538723364, 17.82769409638422, -5.69942440536397, -8.823595648500486, -6.716552449492156, -4.312214903882705, -2.3246651304361876, -1.115268194451346, -0.24609826337837148, 0.0]","[10857.213476788722, 21693.876180652023, 16399.733644083666, 6083.655938429649, 1092.2931779846695, 65.4307466722239, 0.0, 7.275957614183426e-12, 0.0, -7.275957614183426e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(0.40280318820507155, 1.8574330145793532)","(-1.3885061626893922, 0.7373552526248144)",2.2602362027844247,2.1258614153142066
4,ccfbtg160040c.fits,28,0.11854370099899825,2,0.11739533999934793,0.15262405969365178,6.699894052581064 pix,0.3310862345599659,3.826318686356798 pix,"[3629.758072727926, 10434.96315572463, 13230.102041760518, 12383.984474191686, 9376.092162392139, 6632.451152846988, 4501.376650579783, 2999.043392014377, 1927.5005211423413, 670.8541703868905, -21.837217877080548, -658.1748938479286, -1693.8042398692924, -1202.2389177094738, -881.8334531825531, -679.3405253460514, -521.4283058412548]","[4430.462744392442, 11563.31414818296, 14829.463578304858, 14299.276142125276, 11407.886913123948, 7731.934203812307, 4472.0096418669855, 2230.1572506303346, 970.0928666996042, 366.6611674799351, 117.91834255309368, 27.053866402391577, 0.5355444739252562, -4.722362487314967, -4.312872848749976, -2.7429796759824967, -1.5512975892052054, -0.8076152128633112, -0.2536399699165486, -0.007591931018396281]","[9348.37163896676, 19726.333798845288, 16708.064005936172, 7837.330161963095, 2502.6754069714225, 546.5397631331507, 41.76801924882602, 0.6082363411478582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(0.27955262644720413, 1.8881441743677776)","(-1.263933973969987, 0.8489678571810284)",2.1676968008149817,2.1129018311510155
5,ccfbua120155c.fits,12,0.06267277699953411,2,0.10084057900166954,0.3243069367662397,6.327136415424138 pix,0.2472207875576462,4.455128786152949 pix,"[2417.1820937582384, 6450.539127432452, 8397.807721093914, 8352.286972001359, 7213.499681131525, 5108.578379231956, 3588.4680211310624, 2486.674910674017, 1315.90935225899, 638.6931052738655, 151.93306696012587, -294.39727521442546, -691.1981864008267, -669.5277704543187, -456.63156972129946, -264.10704529883515, -179.95706508219882]","[1713.0531614951367, 4340.182107904147, 5263.186054353221, 4727.926778197878, 3516.43353165615, 2238.867910909783, 1204.3158919434245, 564.2249518523859, 238.43717131275844, 92.97538903404711, 32.253959160880186, 7.6648556345753605, -1.540832316459273, -3.7208769921344356, -3.465019636299985, -2.2792310480290325, -1.3076210676154005, -0.7182228505225794, -0.22370660765955108, -0.0005276171687000897]","[4910.350017418657, 11893.626532325457, 12486.231382387665, 8026.185310786699, 3288.446320561474, 1094.5502395413932, 241.44168073133915, 14.426147637961549, 7.275957614183426e-12, -7.275957614183426e-12, 0.0, 0.0, 7.275957614183426e-12, 0.0, 0.0, 0.0, -7.275957614183426e-12, 0.0, 0.0, 0.0]","(0.07902066918824602, 1.7644011840191425)","(-1.1494956840731412, 0.8745559284121818)",1.8434218532073885,2.024051612485323
6,ccfbua120156c.fits,13,0.10077140100111137,2,0.15074891800031764,0.29512566326401624,6.457709650519876 pix,0.21443369648381538,4.655404270640132 pix,"[2110.173618532714, 5692.875779761604, 7603.104718207924, 7940.4016031991, 6877.792553612082, 5309.704028463559, 3767.105257878946, 2545.644479363851, 1533.7812683233788, 701.4924070445195, 112.18929450962605, -329.45883399502054, -731.2511431395906, -680.0926134440815, -500.5891855239752, -227.65656115554157, -177.411427008803]","[2014.3941387665395, 5191.744321937067, 6489.5102119446465, 6014.609694118264, 4575.011578202193, 2965.5558867676154, 1631.3836585236131, 782.5447532846883, 332.7750665307067, 128.1397580824996, 43.08143085760821, 9.935301576806523, -1.693013068390428, -4.287501571416215, -3.855258154882904, -2.5198271807785204, -1.419504965931992, -0.7579042428696994, -0.21852051179666887, 0.0]","[4293.820415691167, 10570.99624410427, 11863.147187750339, 8259.536666888613, 3680.3813792726432, 1215.8214127370884, 337.89422760241723, 57.19314906944783, 0.032696009147912264, 0.0, 0.0, 0.0, -7.275957614183426e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(0.29065072952572635, 1.9202522937178657)","(-1.022326905674035, 0.8035233363065704)",2.210903023243592,1.8258502419806053
7,ccfbua120157c.fits,12,0.06112693500108435,2,0.08115574999828823,0.27906676862724,6.465070949029159 pix,0.1800741149927415,4.559225715396964 pix,"[2155.127825304547, 5865.2888992171265, 7868.408962047731, 8406.160126017292, 7434.121948685199, 5763.401545100525, 3866.281101052431, 2621.2308954701875, 1575.448563480728, 746.2351758617369, 290.46031568427134, -342.3381784949743, -548.6953154203875, -483.75167646411137, -369.4723829098657, -289.1692828855521, -163.74630574347975]","[2040.1731326528206, 5206.924905606893, 6337.32006634643, 5693.335484391564, 4237.916896628274, 2748.002867580093, 1562.743742914845, 799.6457153754782, 372.8882485684153, 156.845675068711, 57.05145926823752, 15.321770129878132, -0.23157544761852478, -4.195531819077587, -4.252065173939627, -2.7935592363064643, -1.6034334835894697, -0.8967816824479087, -0.29442446659959387, -0.00026563780556898564]","[4718.8322620828385, 11558.171998163214, 12667.548588382164, 8800.289690094203, 3940.537642861542, 1008.3301978315358, 201.68768126551004, 34.30718808968959, 2.3228329550038325, 0.0, -7.275957614183426e-12, 7.275957614183426e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(0.5372438405951634, 1.9430440943190952)","(-0.987773111459374, 0.8413430806203781)",2.4802879349142586,1.829116192079752
8,ccfbua120158c.fits,11,0.06705363499713712,2,0.0978318030029186,0.3159372893062117,6.495083317974974 pix,0.2086270209431924,4.384866954141763 pix,"[2366.5377772630195, 6194.901857863308, 8288.105928854795, 8536.353291795127, 7374.514096436946, 5478.413044275298, 3760.382726223499, 2349.8453289083263, 1490.3038540987036, 677.4420497415849, 13.904508208637708, -404.9250666416265, -649.5671374081066, -543.2983194711269, -399.3981557431107, -289.7397272738526, -210.89894340352475]","[1732.156678033136, 4454.152149597217, 5467.825797321617, 4961.625138670905, 3727.102289652139, 2408.4984299551215, 1374.1127940786537, 702.0640452566513, 322.52167469430424, 133.80498561757122, 48.64304737490602, 13.21856797086366, 0.3499262023178744, -3.4971650097650127, -3.929072435352282, -2.6351444317479036, -1.6441594780662854, -0.9619906009174883, -0.40250763226140407, -0.058068768954399275]","[5026.351445149473, 12292.05788646571, 12954.9068513054, 8000.990360675067, 3271.3389127755654, 858.6390231154364, 225.26180284634756, 29.96804894306115, 0.0, 0.0, 0.0, -7.275957614183426e-12, 7.275957614183426e-12, -7.275957614183426e-12, 7.275957614183426e-12, -7.275957614183426e-12, 0.0, 0.0, 0.0, 0.0]","(0.3340200265842217, 2.0231014004860945)","(-1.1781194662006023, 0.8998445596930598)",2.3571214270703162,2.077964025893662
9,ccfbua120159c.fits,12,0.05725425100172288,2,0.08198613800050225,0.2748980929733048,6.483383842848669 pix,0.19287837620633952,4.703777783852572 pix,"[1988.3406697949297, 5433.902274607071, 7446.96246391536, 7907.931498247632, 7044.182571324491, 5771.881410808666, 4151.617425267585, 2597.337749045051, 1651.7185354429967, 851.2232845787075, 180.1652630376484, -285.04117017952376, -646.5711147978946, -605.1379177385897, -389.30773456520546, -231.46115059142903, -64.40297440913855]","[1860.1563365754464, 4782.529340806877, 5897.430415368974, 5367.525671953306, 4028.9688465062936, 2595.7865130781356, 1463.6325063627592, 737.5025427912842, 334.56102018290403, 137.94961186259025, 49.98441697774979, 13.122462398765492, -0.4002249606855912, -4.178106863393623, -4.300693459998001, -2.8240263118204894, -1.6911882222011627, -0.9498413345463632, -0.35163587753413594, -0.02612367751498823]","[4116.6643742132555, 10727.671406175112, 12427.44273325025, 9056.348571180315, 4203.380641806609, 1259.3386457925808, 261.87943197699497, 36.01119170144375, 0.015109712941921316, 7.275957614183426e-12, -7.275957614183426e-12, 7.275957614183426e-12, 0.0, -7.275957614183426e-12, 7.275957614183426e-12, 0.0, -7.275957614183426e-12, 0.0, 0.0, 0.0]","(0.35391960740274797, 1.9633306884718795)","(-1.2453915687049655, 0.9820994890271546)",2.3172502958746275,2.22749105773212
