,0,1,2,3,4,5,6,7
0,FC_SGP_original_images/ccfbue110099.fits_327.3375_106.8566_SGP_orig.fits,"[2661.453857421875, 2389.950917561849, 1812.7951398577009, 1282.98466907848, 815.1460971174569, 513.9290036288174, 299.4072141425554, 194.8392659967596, 127.62997880415483, 89.93147303263346, 63.48874363754735, 46.20729900050808, 35.75387919108073, 27.564955700402972, 20.74817171201601, 13.611963047700769, 13.565839889201712, 11.485386403401693, 9.337532043457031, 8.084829711914063, 15.637243270874023]","[2702.2258029201917, 2312.851395604835, 1815.7605246608268, 1307.537515534786, 863.6434712574783, 523.2383625620522, 290.7698745995023, 148.2122116984241, 69.29522586787266, 29.717165912249847, 11.689507418200476, 4.217642651949517, 1.3958157606493176, 0.42371238913848913, 0.11797744195822436, 0.030130860561608665, 0.007058441889348072, 0.0015166693113608416, 0.0002989218783150352, 5.403924260933149e-05, 8.960774578610115e-06]","[8776.953515114032, 6010.864547432253, 3265.4142163546, 996.6989730496012, 52.670752104564976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8744.999558560588, 6136.718713807727, 3055.011614694788, 1078.9212267273576, 270.31293782166046, 48.04455231061308, 6.057894315578764, 0.5418754273481435, 0.03438566639815991, 0.0015479454672652374, 4.943494911352589e-05, 1.11998640072717e-06, 1.800079269901691e-08, 2.052441251884301e-10, 1.6601604467970197e-12, 9.5264175613257e-15, 3.878014135555787e-17, 1.1199261495084333e-19, 2.294402493548434e-22, 3.3346484047951765e-25, 3.438196684863146e-28]",29.74342884469637,34.416927153434756,[2.04174042e+02 1.09107148e-01 6.12228284e-02]
1,FC_SGP_original_images/ccfbvc170118.fits_178.244_506.4522_SGP_orig.fits,"[-7.667520523071289, -0.834521484375, -5.9278667994907925, 4.114292144775391, 21.57266286214193, 25.768007702297634, 35.403506469726565, 29.405361938476563, 22.822384504838425, 20.16295856540486, 12.715579362349077, 15.088244868259803, 8.90950990759808, 0.9034099578857422, -0.5257844316198471, -8.683875189887154, -15.622310028076171, -15.98514986038208, -23.861417846679686, -29.221650366689644, -25.906238555908203]","[0.5350830479714349, 1.6267769130224057, 4.148344415809066, 8.872818762479694, 15.917996793523116, 23.95274070600637, 30.23166117439212, 32.004335018651446, 28.418136919626598, 21.16520088677848, 13.22175743697849, 6.927810091113808, 3.0446877558626317, 1.1223531904591173, 0.3470214564792068, 0.08999597969738272, 0.019576267371137476, 0.003571713907875018, 0.000546592212537891, 7.016010219096604e-05, 7.55365219495175e-06]","[632.4333713589443, 518.1654075172125, 377.0557058199181, 228.14967500896054, 122.41404378885325, 51.837060674989786, 18.205972177617824, 4.694708280668683, 1.560298766594315, 0.2908855873416522, 0.3107355042127998, 0.11895139527816563, 0.08336639433488395, 0.08336639433488392, 0.08336639433488392, 0.08336639433488399, 0.0833663943348841, 0.08336639433488412, 0.08336639433488412, 0.0833663943348841, 0.08336639433488406]","[630.6695208788766, 523.1129512929049, 372.93586704610937, 228.5166696460049, 120.3501594819716, 54.47791849120326, 21.195291433984284, 7.087667423167108, 2.0370998679624863, 0.5032298125827678, 0.10684776805014287, 0.019498876955741574, 0.003058431756015486, 0.00041231870901902297, 4.7776280949917496e-05, 4.758134233303043e-06, 4.0729219837549015e-07, 2.99654320725601e-08, 1.894872742256001e-09, 1.0298752096505782e-10, 4.810987311515787e-12]",7.643142653830175,1.0945146552761285,[4.3451172  0.04597706 0.02533892]
2,FC_SGP_original_images/ccfbvc170118.fits_474.0155_402.918_SGP_orig.fits,"[128.08434549967447, 129.57171630859375, 116.60327625274658, 84.59234950853431, 76.93940089299129, 63.7540103064643, 51.65503063201904, 44.672142346700035, 34.02596692685728, 24.15356305440267, 20.548031882634238, 14.821033739063838, 10.024101643622677, 11.884780590350811, 8.087764104207357, 5.108278155326843, -0.029271251750442217, 0.7702763255049543, -3.0353965759277344, -1.5864969889322917, -4.693848503960504]","[135.0212944249397, 121.64563606407764, 107.42057347321717, 92.97690087140118, 78.87862512774836, 65.59039778485237, 53.45863482112932, 42.70631800752234, 33.439753079372764, 25.664373128004634, 19.306116658820304, 14.234947115968936, 10.287585473158833, 7.287318001655027, 5.059628766810413, 3.443231725803618, 2.296733028695831, 1.5015902757398145, 0.9622524929608682, 0.6043984045479306, 0.3720953477362215]","[619.3474257752661, 429.84942014072124, 278.1606985038202, 169.2570149560816, 95.46454791861903, 48.21164742033085, 15.865643044364965, 2.788546882355228, 0.5272060302861276, 0.06798192725684699, 0.12316013417496136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[618.1630095378379, 432.33002726396273, 279.24673854172516, 166.57934159386096, 91.77290843712132, 46.694762648544845, 21.942301160111104, 9.522620858295848, 3.8167273556729624, 1.4128176262193075, 0.48299361978479516, 0.15249549211110858, 0.0444664992974769, 0.011974825601051215, 0.002978281724948623, 0.0006841048645426333, 0.0001451242215349798, 2.843265727904547e-05, 5.1446439051928645e-06, 8.597130355108532e-07, 1.3268200524021054e-07]",3.0602178464092367,1.4597601196781815,[77.53021028  0.31596153  0.10170644]
3,FC_SGP_original_images/ccfbvc170118.fits_485.6476_528.831_SGP_orig.fits,"[1316.6522216796875, 1253.9250549316407, 1138.4258079528809, 893.5835127397017, 737.9783455984933, 572.267030658144, 440.841802687872, 351.0918619584064, 257.9845377604167, 205.92948624183393, 155.39936758188102, 126.567136976454, 104.57613685803535, 94.13615505174658, 85.9522216014373, 65.67767656353158, 79.24162183489118, 91.31225541058708, 132.40072338397687, 110.72507222493489, 150.6036660330636]","[1391.3807726982525, 1214.4498103913356, 1043.0066994269637, 881.3909305742976, 732.86504764806, 599.5886378366926, 482.67714149925933, 382.32616677373215, 297.9787306769658, 228.51276318694022, 172.4287225306435, 128.021441287526, 93.52544141214568, 67.22809014835767, 47.5494758194509, 33.091362291477985, 22.65987510710032, 15.267725042916739, 10.121971290395503, 6.602825577787167, 4.238073668324522]","[3515.5246408818275, 3415.5006978306687, 2417.2315524814653, 1569.6088065353617, 950.6782091451942, 419.99801127297707, 160.94403284819285, 42.27234117246121, 11.658314845189905, 3.3434145512012488, 2.71212080144259, 2.7121208014425893, 2.712120801442589, 2.712120801442588, 2.712120801442589, 2.7121208014425897, 2.7121208014425937, 2.712120801442594, 2.712120801442594, 2.712120801442594, 2.712120801442594]","[3567.662195929948, 3276.9801053865594, 2520.1702987882954, 1622.7513493245885, 874.8630507084624, 394.90640393020857, 149.2499808204235, 47.22809165272056, 12.512742768226307, 2.7756879606866307, 0.5155309847419828, 0.08016871258570388, 0.010438090357788692, 0.0011378976499602472, 0.00010386072618514003, 7.937166943709942e-06, 5.078619560100183e-07, 2.7207701414232587e-08, 1.220405146972201e-09, 4.583341466869211e-11, 1.4412071350861172e-12]",48.56253543378478,23.56876667550807,[45.38385933  0.10505843  0.07259316]
4,FC_SGP_original_images/ccfbvc170119.fits_226.8246_174.0645_SGP_orig.fits,"[99.3733139038086, 98.95486450195312, 96.67565046037946, 80.63357613303445, 61.042265004125134, 45.40548139299665, 33.71033105617616, 24.527262748555934, 16.71975146599536, 11.66545892530872, 10.663463115692139, 9.113679144117567, 5.198227126877029, 3.837832726372613, 1.187344741821289, 0.18350673067396966, 3.890440960319675, -0.502756609235491, -3.0152963491586537, 5.886713201349432, 0.8841044108072916]","[102.276871501158, 99.01991472710414, 90.61643960431907, 78.38460502477864, 64.09053364809678, 49.53319418682168, 36.18579472515377, 24.987294142391498, 16.309463559933178, 10.06235089064223, 5.8681144066917295, 3.2347224338447953, 1.6854458425697734, 0.8301028736771661, 0.38644559923737953, 0.17005294136422827, 0.07073254164721503, 0.027809534108821046, 0.010334928966605551, 0.003630451274492045, 0.0012054607164508344]","[242.75983408082197, 208.09581592885695, 159.83715647038227, 113.92394254195257, 73.33118778795416, 34.16826018578688, 12.668812216342952, 2.6618183138193574, 0.2186487570710799, 0.04596064160508142, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17, 5.551115123125783e-17]","[241.07575080941007, 210.32714579563202, 162.53247011681225, 111.24690823811233, 67.4432936385758, 36.21534271553287, 17.22461147471677, 7.256200537673119, 2.707522820523583, 0.8948247378095794, 0.2619430287924999, 0.06791703450634565, 0.01559744962935765, 0.0031727180232243657, 0.0005716265165101384, 9.122130153098733e-05, 1.2893866496146576e-05, 1.614258496470028e-06, 1.7900534528815281e-07, 1.7581742913099398e-08, 1.529540066928567e-09]",2.64219534068874,1.4314269140227256,[4.2915646  0.14197009 0.08141422]
5,FC_SGP_original_images/ccfbvc170119.fits_297.1877_311.5624_SGP_orig.fits,"[277.53904215494794, 221.8002596768466, 184.78014373779297, 154.917216907848, 117.06900024414062, 89.58070306216969, 70.70459801810128, 52.30624779595269, 42.24767206365412, 35.720956802368164, 27.52926518366887, 22.288785438015037, 17.521928714800485, 16.878182948320763, 16.551374647352432, 11.629279192756204, 10.101219459816262, 12.01052474975586, 2.9742951569733798, 2.4738528911884012, 10.570104217529297]","[277.8020212192693, 224.97888474745227, 181.51452770647265, 145.8963048018624, 116.82625816717342, 93.19656667069579, 74.06663802410105, 58.641979599546154, 46.25491477999176, 36.3471547329647, 28.454189958953382, 22.19143084285764, 17.242000606635855, 13.346066326636079, 10.291582829390425, 7.9063191377019075, 6.051036596549269, 4.613690851786636, 3.5045355799138886, 2.652013488276684, 1.9993289551362956]","[762.4548150031583, 602.817831979869, 397.0653304344064, 255.65722228033104, 148.70360135642517, 65.36211434119235, 19.501510511369116, 4.243794910609942, 0.9969088200761519, 0.3512168987394814, 0.31115570037952744, 0.31115570037952744, 0.3111557003795273, 0.3111557003795273, 0.3111557003795272, 0.31115570037952733, 0.3111557003795279, 0.31115570037952783, 0.3111557003795278, 0.31115570037952767, 0.31115570037952767]","[764.1097482140449, 594.6083930923858, 410.8592842270896, 252.08206658801936, 137.33384240124994, 66.43546314980888, 28.537054069079282, 10.884414806608229, 3.6862756376981367, 1.1085551474513882, 0.296014902075321, 0.07018699071907986, 0.014777005839823196, 0.0027625048095653265, 0.0004585708198684757, 6.759219721709706e-05, 8.846540862526742e-06, 1.0281043264224064e-06, 1.0609322735373214e-07, 9.721312635938616e-09, 7.909498259314875e-10]",3.2402103519600765,2.9446615720791445,[27.65612844  0.1848367   0.08395414]
6,FC_SGP_original_images/ccfbvc170119.fits_515.4571_110.0911_SGP_orig.fits,"[625.0724283854166, 599.6540260314941, 546.6405162811279, 460.6288269042969, 371.01125880650113, 301.38823869493274, 241.90805096096463, 189.6688995361328, 153.51652036394393, 127.28944273917905, 98.88672435283661, 83.2382883014101, 66.97140980915852, 52.677973692444546, 41.81222953377189, 41.65304223815007, 27.931425600635762, 29.84865631928315, 19.54945246378581, 21.991951751708985, 15.053926467895508]","[656.1452244309401, 584.2863455235552, 512.1997898312837, 442.0190109939865, 375.51768502806476, 314.05646299763094, 258.56692423066784, 209.56854457768915, 167.21187588863657, 131.3397044700408, 101.55769707153438, 77.30677345705419, 57.930882537293094, 42.73568167314799, 31.035519586815816, 22.18785399092552, 15.61562862173153, 10.81911004642001, 7.379237672852822, 4.9547226898744965, 3.275028626594014]","[1532.917859653501, 1328.445321775822, 1126.57492144942, 759.6902748429458, 486.19567644897273, 229.96598620327725, 78.50877345042927, 9.923086722776064, 1.3688985504553937, 1.3688985504553939, 1.3688985504553943, 1.3688985504553948, 1.3688985504553952, 1.3688985504553952, 1.3688985504553952, 1.3688985504553945, 1.3688985504553932, 1.3688985504553934, 1.3688985504553945, 1.3688985504553945, 1.3688985504553945]","[1510.0778693001384, 1380.3914251821736, 1097.9017931213734, 759.7716205524639, 457.46826514711773, 239.66091243559518, 109.24253669987841, 43.325608962682104, 14.950506516744696, 4.488750527409671, 1.1726093783288583, 0.2665260045854511, 0.052708923466100115, 0.009069577057795894, 0.0013578389283355652, 0.00017687555167007134, 2.0046829236361673e-05, 1.976887275784405e-06, 1.6961976328006336e-07, 1.2662787855584263e-08, 8.225087767405105e-10]",14.339461666615495,11.255050667348566,[21.74341925  0.1276687   0.08304811]
7,FC_SGP_original_images/ccfbvc170120.fits_266.2868_418.8551_SGP_orig.fits,"[2094.3375854492188, 1992.3394317626953, 1891.5665418836807, 1726.8165344238282, 1539.629407610212, 1326.3758329503676, 1063.143061065674, 802.4586737060547, 600.6597010294596, 423.99952451644407, 311.55161830357144, 199.61712690080915, 159.8375171661377, 126.43010315714004, 128.87325032552084, 168.11107042100696, 187.34017944335938, 252.12078552246095, 208.75689442952475, 263.8935241699219, 384.9445381164551]","[2099.1242424387237, 2023.0415660728975, 1889.4858268065566, 1710.2304789112884, 1500.1608110594548, 1275.2436248762754, 1050.5595545210217, 838.7264970703103, 648.9215858719225, 486.55982775922814, 353.5513078030154, 248.96644489348762, 169.90312172042724, 112.36577974978114, 72.01765103431492, 44.731761956941625, 26.925590030199842, 15.706760571509129, 8.879329839542764, 4.864586443728119, 2.582758694721273]","[5282.899952142116, 4752.499218489401, 3742.9158734504213, 2601.6940685999266, 1549.5139098312632, 659.4154972824291, 235.07579966484403, 33.06621103837039, 6.7195004724893765, 5.80844959029361, 5.80844959029361, 5.80844959029361, 5.808449590293609, 5.808449590293609, 5.808449590293609, 5.80844959029361, 5.808449590293612, 5.808449590293613, 5.808449590293617, 5.808449590293615, 5.808449590293615]","[5249.478076157909, 4804.968808313081, 3772.8620580708925, 2541.3073288532346, 1468.41684734792, 727.859300877587, 309.4934206809364, 112.89151827681786, 35.32458874789478, 9.481975366764399, 2.183365475469286, 0.4312806391652522, 0.07308014391027018, 0.010622940111194742, 0.0013246342497039531, 0.0001416945461778216, 1.3002180684741408e-05, 1.0234936840288586e-06, 6.911304772419609e-08, 4.003509194725638e-09, 1.9894247816254446e-10]",77.87673332031495,27.308567353655036,[43.71540196  0.07197587  0.04790393]
8,FC_SGP_original_images/ccfbvc170120.fits_484.9905_435.0559_SGP_orig.fits,"[147.5408935546875, 155.16734619140624, 172.4623026529948, 160.83750221946022, 151.68889944893974, 131.1227075913373, 114.18078116483467, 82.02272431746773, 63.644040034367485, 46.10313234490863, 33.84371855764678, 24.070330168071546, 12.258482666015626, 1.4515698407147382, -1.4023419004498106, -4.330682642319623, -4.732696533203125, -6.266419260125411, -15.75084228515625, -17.322251263786764, -18.930426025390624]","[146.09057542220395, 160.23977769178023, 166.24614784915934, 163.14207097048103, 151.4305411245055, 132.95176296003825, 110.4098576126981, 86.72707953803908, 64.43691168589977, 45.284318462414156, 30.10191169291382, 18.926636526039882, 11.256047817697281, 6.331863442199632, 3.3690718545344946, 1.6955950116834178, 0.8071738988945409, 0.3634504514738893, 0.15479482532376362, 0.06235923621764504, 0.023761741071661513]","[499.84656543025665, 427.43904693015963, 381.9576309577266, 282.04714187975355, 189.7560761892851, 120.53577814013029, 65.18114732456601, 33.50489588595435, 17.848913585977375, 6.548466973770688, 3.0526933766386164, 0.5057042165684872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[492.2945479547912, 446.62836188118047, 369.4896238917359, 278.73587720132747, 191.7424064794953, 120.27577164330559, 68.79752369403252, 35.884106552785866, 17.067351985766013, 7.402268418330292, 2.9275086694181107, 1.0557624874529838, 0.34719138513066583, 0.10411332836680288, 0.02846940542048775, 0.007098803260271549, 0.001614085587427417, 0.0003346591129785081, 6.32722717947624e-05, 1.090834530405665e-05, 1.7149007985166124e-06]",5.580854622561073,2.550572932357548,[8.56161539 0.1649309  0.09686784]
9,FC_SGP_original_images/ccfbvc170121.fits_178.0998_506.4224_SGP_orig.fits,"[335.6263122558594, 308.3844223022461, 286.36121978759763, 252.29259185791017, 218.1817581741898, 180.9745330810547, 135.74804125334086, 106.18317760120739, 80.2331558863322, 55.6915901184082, 44.885832353071734, 33.12291835731184, 23.63566662016369, 16.62873701615767, 10.345375216737086, 7.342207923302284, 6.040710094363191, 3.5266849517822267, 3.596676826477051, 10.19697265625, 17.181049346923828]","[334.6986134489709, 313.3751443801255, 284.471490737458, 250.36667283208686, 213.63768094149566, 176.7432187285373, 141.7657214428228, 110.24610953106988, 83.12255435693959, 60.762838906394, 43.06463789750471, 29.591508918411776, 19.71410158310032, 12.733577526065572, 7.974206008900401, 4.8415902682193215, 2.850048058647912, 1.6265967528044918, 0.9000594299413354, 0.4828653473229945, 0.2511565220265316]","[776.5270868608211, 681.0271997790356, 522.1401837178582, 349.67427836032624, 225.11922007265724, 112.2983004352281, 53.196082736274434, 28.760530105671027, 12.041283327564928, 4.5432703136667065, 1.1218040271567928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[778.2899269218567, 677.0721327332792, 522.2356776754524, 357.1381187811868, 216.54289786421197, 116.40985585596545, 55.48474927873794, 23.447447585316347, 8.78527961949689, 2.918459516515013, 0.8595869770856448, 0.22447296880470693, 0.05197282731233452, 0.010669073448574984, 0.001941847571306169, 0.0003133586134279176, 4.48338677939404e-05, 5.687335471585147e-06, 6.396605319233315e-07, 6.378643539116613e-08, 5.639559465174192e-09]",4.239200141594059,1.8571105256465985,[6.15136383 0.0624477  0.03552643]
