col1_1,label_1,xcentroid_1,ycentroid_1,sky_centroid_1,bbox_xmin_1,bbox_xmax_1,bbox_ymin_1,bbox_ymax_1,area_1,semimajor_sigma_1,semiminor_sigma_1,orientation_1,eccentricity_1,min_value_1,max_value_1,local_background_1,segment_flux_1,segment_fluxerr_1,ellipticity_1,fwhm_1,col1_2,label_2,xcentroid_2,ycentroid_2,sky_centroid_2,bbox_xmin_2,bbox_xmax_2,bbox_ymin_2,bbox_ymax_2,area_2,semimajor_sigma_2,semiminor_sigma_2,orientation_2,eccentricity_2,min_value_2,max_value_2,local_background_2,segment_flux_2,segment_fluxerr_2,ellipticity_2,fwhm_2,Separation
1,2,337.5320544073534,11.559974757227987,,334,341,9,14,44.0,1.0515671837391238,0.8923386387416741,40.329095934244414,0.5290674571635827,0.0,359.8278630713369,0.0,1409.8716455085184,,0.15142023016662687,2.2964396492641637,2,3,337.81977118497974,11.39628636436414,,334,342,7,16,50.0,2.3738649993598657,1.717700839849804,65.44544309843592,0.6902318688243525,10.80738890853175,42.585510856773936,0.0170058952762826,1276.7378994060798,,0.27641174190065665,4.8790062027174415,0.33102089675127677
2,3,23.307531447748225,14.947260460758558,,21,26,12,18,39.0,0.9724263877544735,0.8296978873208471,83.36906369235098,0.5215440372203772,0.0,201.37152891803183,0.0,888.1604445399128,,0.14677563487681056,2.128483570792109,8,9,23.024860654199674,14.919822000335238,,20,26,11,19,32.0,2.0096277383940984,1.463659909284363,83.30975568040647,0.6852330250647036,-4.024700792751955,40.30349343403914,0.713985057459223,770.8754421278048,,0.2716761013390572,4.139698619439833,0.28399937787919466
3,4,162.12025671542415,16.296371456789544,,159,165,14,19,38.0,0.9584188356282793,0.9145578150151521,-28.413114053232054,0.2990544078553002,0.0,382.3434336580582,0.0,1829.6535261659067,,0.04576393846055282,2.2058660736726656,9,10,162.21641278807525,16.07804863295722,,157,168,11,20,60.0,2.445874110522914,2.0459353409635357,69.15674566259626,0.5479908605106364,11.761874536073593,59.38285169765473,-0.1061847369126549,1703.8604131935833,,0.16351568048360166,5.3096235655297095,0.2385599415530679
5,6,219.9207952070578,16.99986215772615,,217,223,14,20,46.0,1.1318897695367085,0.9630322227925688,-27.226018466254963,0.5254604471159848,0.0,112.34933164241542,0.0,530.6978263752649,,0.149181970973423,2.4745817294819434,10,11,219.44117295988573,17.49147006136228,,217,222,15,19,16.0,1.7381364730306168,1.1197355827589033,-11.58475432302304,0.7648434840522846,14.446371098295906,32.28514216395455,2.399467718004935,348.76260213360285,,0.35578385234242793,3.44276227743469,0.6868157182970553
7,8,49.566311371557546,23.061186985095517,,47,52,20,25,35.0,0.9749272552902677,0.7949314292225033,-31.216668887854656,0.5789329937578054,0.0,138.78473818247858,0.0,418.4711978949904,,0.1846248785138065,2.094598286707614,12,13,49.99044848980762,22.439314635643388,,48,52,19,25,12.0,1.925886978260314,0.7171111569314618,-62.84198291560504,0.9280908987677684,14.04371582151488,35.84329914237034,2.0548488261676283,267.21267180915925,,0.6276462923181296,3.421906432208848,0.7527400043113076
8,9,172.97569782060708,24.904342811176193,,170,176,21,28,46.0,1.2624386179721256,0.8418601053663659,-89.42021912068964,0.7451899087436273,0.0,212.21772279498967,0.0,1042.3061132358616,,0.3331476925835344,2.526624082171293,13,14,173.13056404290302,24.79644984009783,,169,177,20,30,42.0,2.5459942076304283,1.567137169737665,-86.42891556059297,0.7881130400288037,12.388766869101673,39.02879810739516,0.7817312844807838,1034.2918434251615,,0.38446946774627233,4.97809331073091,0.18874437744296152
10,11,93.49389201869911,37.584037290489604,,90,98,34,43,74.0,1.1106151703224603,1.0004818310216363,62.97338504966342,0.43416008819037166,0.0,176.878917054182,0.0,809.8249969860769,,0.09916426701505199,2.4890068867115516,17,18,93.06896985837012,37.75859320303225,,91,95,35,41,13.0,1.7561393008815778,0.9789109350505202,67.01830317462975,0.8302292170699875,14.444854245282142,30.602367875353835,3.5062600911698087,282.30432218011026,,0.4425778555498934,3.3477772970993316,0.4593785029169854
11,12,157.8330008877959,35.815869626809054,,156,160,34,37,19.0,0.8404261793343288,0.6868269200073387,5.3795058253907175,0.5763024900616358,0.0,1.6785883783973214,0.0,3.649589492703451,,0.1827635348635267,1.8072744348067957,18,19,158.0847231167869,35.69922857874831,,157,160,35,36,6.0,1.0746385872723232,0.41487627052784787,11.368680998731634,0.9224731671631008,13.184972637275386,31.496088608190128,3.0729192567669585,129.113681925889,,0.6139387925936123,1.9181092779379847,0.27743326163406
17,18,314.212169437173,52.15722910842392,,311,318,48,56,59.0,1.3033459804237177,1.0719692085370554,-49.34391821419119,0.568801567870965,0.0,58.36824727778219,0.0,422.71883445933514,,0.17752521230889273,2.8099569064613874,22,23,313.8999266609127,53.10979977214267,,312,316,51,55,11.0,1.4232359198351605,0.7289750447687601,53.49161111866184,0.8588688850604711,9.122938668690692,35.31748222450547,1.3018515442042138,244.44408729037926,,0.4878044921370519,2.6626159132174783,1.0024402329836521
18,19,351.4037050112248,55.181227096306,,349,355,52,59,46.0,1.1830526997150856,0.870271402502793,56.942286806289815,0.6773997777198308,0.0,216.4017419593375,0.0,1053.2947285290456,,0.2643849232478145,2.445492807104384,21,22,351.2232483948294,54.77456319203403,,348,355,50,59,37.0,2.438034118676372,1.3063310249432554,58.7054376590108,0.844336510789856,9.096602434613056,43.937201053801864,0.8663053785624777,904.7075567476895,,0.4641867335095077,4.605618397621219,0.4449046206082909
19,20,268.80829977526196,64.16648008409297,,266,272,60,67,51.0,1.0016690762344729,0.8671133355684322,71.57917120179606,0.5006177203737682,0.0,1888.7515341199137,0.0,8376.250909859466,,0.13433153109994145,2.206019294923697,23,24,268.91243909306576,64.20244337908335,,262,277,56,71,146.0,3.0483624341921214,2.7094292029321845,67.10695474895398,0.45826685502610043,5.465982049667353,153.31406274529218,-1.1762516118118422,8304.966377525148,,0.11118534576409744,6.791016885557864,0.11017420795815089
20,21,330.65361054015085,67.02071994586039,,328,333,64,70,39.0,0.9744498460178612,0.8630218485811997,77.605915162863,0.464352726925995,0.0,410.95748723325056,0.0,1550.8089781733233,,0.1143496485653086,2.1674319474585477,24,25,330.6190252801895,66.50451390981316,,327,334,62,70,50.0,2.0741719753280554,1.8197147334038826,-70.0664625196363,0.47990392456208425,10.30762292161172,53.97335898796277,-0.40169961436984325,1382.9801799384127,,0.12267895090228831,4.59447993792386,0.5173633267426258
21,22,26.32099788528242,68.8721749781753,,24,29,66,72,38.0,1.0210899747834388,0.9246896239142511,-89.77886139454303,0.4241525846868975,0.0,544.3868330598335,0.0,1714.0482397190824,,0.09440926191605492,2.293790328279527,25,26,26.580086511452645,68.58552933054062,,23,30,64,74,52.0,2.582958399231845,1.555092229187458,70.52268968797932,0.7984519293160289,11.763602351282763,61.5111801186922,-3.7290115198188474,1683.2265446030624,,0.39794143426780226,5.020238289601231,0.3863840621954726
23,24,247.545734252994,95.45607252853684,,245,250,93,98,33.0,0.9436184453086175,0.8592637268920064,-11.893972039338642,0.41327767015064504,0.0,652.8754736252049,0.0,2642.4751670759892,,0.08939494436124795,2.1250538033115047,29,30,247.46185884388115,95.4128118183096,,243,251,90,100,67.0,2.3540084753751995,1.968769790210835,87.77592070285118,0.5481992075743604,7.242091110108157,72.81987690879335,-1.4939071818182523,2356.9470028922888,,0.16365220822026239,5.1098537980262995,0.09437464332761522
27,28,210.34354873061469,101.27969007639865,,207,214,99,104,46.0,1.2370936220340139,1.0990241214249419,48.761182108730864,0.4590856027204852,0.0,199.12562792963456,0.0,1122.5508363257527,,0.11160796414264895,2.7553682074918755,30,31,209.72494412606343,100.54476273395808,,206,215,96,105,47.0,2.389084137195675,1.813393996714968,72.50680360795148,0.6510520073808661,13.180819602584886,43.28314769963328,-2.7303485688478975,1264.585899518241,,0.24096687576539533,4.994251002834691,0.9606195164781788
28,29,84.92570185119172,106.92868912349165,,81,88,102,110,56.0,1.2182598516425402,0.8218149017323154,-56.76017918816157,0.7382008715549057,0.0,282.74696331573836,0.0,1285.7834186089985,,0.32541903878364786,2.446938367369984,92,93,84.80454352579616,107.85375702022307,,83,87,105,112,31.0,1.8742860372901977,1.164000379243237,-78.39582582079797,0.7837815009619656,8.490053957347804,50.90340716490977,0.28506136479605626,799.6393754009389,,0.37896331932018046,3.6737626813129682,0.9329683560420196
29,30,75.04266874809845,111.14399541911997,,72,78,109,114,38.0,1.1866886591388257,0.9584246962153607,-29.31616168680345,0.5896672500562623,0.0,14.266057754444295,0.0,102.41520382739313,,0.19235370723869138,2.539937256084985,33,34,74.57193323422564,110.62657576870942,,74,75,109,112,7.0,1.0438387401682343,0.46020824999156806,-78.81423533808575,0.8975657617181729,10.13800198740887,38.77648877020806,1.9027811703656843,149.53957543217024,,0.5591194000738113,1.8995320128832986,0.6995105564979591
